source,title,company,location,salary,skills,category,job_type,keyword,scraped_at
Remotive,Tech Lead Databricks Data Engineer,Mitre Media,"USA, Canada, USA timezones",$160k - $180k,"apache, api, AWS, big data, cloud, java, python, scala, sql, AI/ML, documentation, CAD, CI/CD, analytics, advertising, spark, tableau, GCP, ETL, data engineering, SOLID, fintech, Micro services, backbone, github",Software Development,full_time,data engineer,2026-03-29T13:07:46.378807
Remotive,Senior Full-stack React Developer,Lemon.io,"Americas, Europe, Asia, Oceania",,"android, AWS, azure, C++, data science, fullstack, golang, ios, java, javascript, node.js, php, python, react, react js, shopify, video, blockchain, AI/ML, rust, unity, spring, data analysis, solidity, flask, Typescript , angular , GCP, data engineering, Symfony, startup, marketplace, next.js",Software Development,full_time,data engineer,2026-03-29T13:07:46.378807
Remotive,Senior Independent AI Engineer / Architect,A.Team,"Americas, Europe, Israel",$120 - $170 /hour,"go, UI/UX, wordpress, chat, apple, testing, catalyst",Software Development,contract,AI engineer,2026-03-29T13:07:46.895760
Remotive,Senior Full-stack React Developer,Lemon.io,"Americas, Europe, Asia, Oceania",,"android, AWS, azure, C++, data science, fullstack, golang, ios, java, javascript, node.js, php, python, react, react js, shopify, video, blockchain, AI/ML, rust, unity, spring, data analysis, solidity, flask, Typescript , angular , GCP, data engineering, Symfony, startup, marketplace, next.js",Software Development,full_time,AI engineer,2026-03-29T13:07:46.895760
